source,title,company,location,salary_min,salary_max,salary_mid,salary_text,skills,specialty,published_at,url
trudvsem,"Главный специалист, бухгалтер управления финансов администрации Богородского муниципального округа",УПРАВЛЕНИЕ ФИНАНСОВ АДМИНИСТРАЦИИ БОГОРОДСКОГО МУНИЦИПАЛЬНОГО ОКРУГА,Кировская область,31157.0,36450.0,38546.5,31157 – 36450,,SysAdmin,,https://trudvsem.ru/vacancy/card/1194350014264/b2a4c508-07d4-11f1-bad5-c578d02e8fee
trudvsem,Советник главы администрации,АДМИНИСТРАЦИЯ БЕЛОКУРАКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ,Луганская Народная Республика,27093.0,60000.0,41300.0,27093 – 60000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1239400007648/daa274c8-f2a9-11f0-8628-a3cca5294b78
trudvsem,Помощник главы администрации,АДМИНИСТРАЦИЯ БЕЛОКУРАКИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛУГАНСКОЙ НАРОДНОЙ РЕСПУБЛИКИ,Луганская Народная Республика,27093.0,60000.0,128000.0,27093 – 60000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1239400007648/2fddc2f8-f2aa-11f0-8628-a3cca5294b78
trudvsem,Начальник отдела (финансово-экономического и административного),"ГБУ ГОРОДА СЕВАСТОПОЛЯ ""МЦ""",Город Севастополь,40000.0,45000.0,33000.0,40000 – 45000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1249200000356/fe3e04e8-3f10-11f1-a969-bf33e0c96538
trudvsem,начальник отдела обеспечения информационной безопасности и поддержки информационных систем,ГБУ РЦМСО,Оренбургская область,65000.0,70000.0,34000.0,65000 – 70000,,Security,,https://trudvsem.ru/vacancy/card/1055610115990/b401ce68-17b6-11f1-929d-45f09e15ba18
trudvsem,Заместитель главы администрации по жизнеобеспечению,АДМИНИСТРАЦИЯ РОМНЕНСКОГО ОКРУГА,Амурская область,128000.0,139000.0,130000.0,128000 – 139000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1202800008806/b83f19a7-f048-11f0-b746-7ffc9083893e
trudvsem,заместитель главы администрации района,АДМИНИСТРАЦИЯ УНЕЧСКОГО РАЙОНА,Брянская область,88800.0,102200.0,75000.0,88800 – 102200,,SysAdmin,,https://trudvsem.ru/vacancy/card/1023201042105/22f91420-e0a5-11f0-8d1f-2532aae3901e
trudvsem,руководитель проектов,"РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ОБЩЕРОССИЙСКОГО ОБЩЕСТВЕННО-ГОСУДАРСТВЕННОГО ДВИЖЕНИЯ ДЕТЕЙ И МОЛОДЕЖИ ""ДВИЖЕНИЕ ПЕРВЫХ"" ОРЕНБУРГСКОЙ ОБЛАСТИ",Оренбургская область,14863.0,14863.0,81500.0,14863 – 14863,"Специалист по организации работы в Сакмарском районе -0,25ст Специалист по оргнаизации работы в Домбаровском районе -0,25ст",Project Manager,,https://trudvsem.ru/vacancy/card/1235600000602/f86444b8-0015-11f1-b547-0be3ef0fc3c3
trudvsem,Заместитель главы администрации,АДМИНИСТРАЦИЯ МАЛОСЕРДОБИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ,Пензенская область,50000.0,65000.0,8750.0,50000 – 65000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1035801200632/2bbf6880-5814-11f0-9e37-cb26dff57dd7
trudvsem,главный специалист отдела административной реформы управления нормативно-аналитической работы,АППАРАТ ГУБЕРНАТОРА ТЮМЕНСКОЙ ОБЛАСТИ,Тюменская область,31157.0,38094.0,75000.0,31157 – 38094,ВНИМАНИЕ: Вакансия может быть замещена только по результатам конкурса,SysAdmin,,https://trudvsem.ru/vacancy/card/1057200712580/2b6558b8-fdb7-11f0-933c-23762d8500cd
trudvsem,начальник отдела пресс-службы Управления пресс-службы и протокола  Администрации Главы Чувашской Республики,АДМИНИСТРАЦИЯ ГЛАВЫ ЧУВАШСКОЙ РЕСПУБЛИКИ,Чувашская Республика - Чувашия,58600.0,65400.0,90000.0,58600 – 65400,,SysAdmin,,https://trudvsem.ru/vacancy/card/1022101149905/1e1f16d8-45e4-11f1-aa71-659f9ad1813b
trudvsem,администратор тренировочного процесса,"ГБУ ДО КК ""СШОР ""ЧЕМПИОН""",Краснодарский край,40000.0,55000.0,60000.0,40000 – 55000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1022301210139/dbf50a9a-491b-11f1-862b-c921de52508b
trudvsem,"Главный специалист управления муниципального имущества, земельных отношений и градостроительства Администрации Борисоглебского муниципального округа",АДМИНИСТРАЦИЯ БОРИСОГЛЕБСКОГО МУНИЦИПАЛЬНОГО ОКРУГА,Ярославская область,30000.0,30000.0,70000.0,30000 – 30000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1027601073532/c6b7ab08-47be-11f1-9a83-03f66f346c8b
trudvsem,Директор ИТ / Руководитель по ИТ,АДМИНИСТРАЦИЯ ГОРОДА БЕЛИНСКОГО БЕЛИНСКОГО РАЙОНА ПЕНЗЕНСКОЙ ОБЛАСТИ,Пензенская область,64417.0,64417.0,92500.0,64417 – 64417,,IT / Digital (general),,https://trudvsem.ru/vacancy/card/1025801072296/4484e21e-1ded-11f1-99d5-5f9d65125ca1
trudvsem,Консультант отдела информационной безопасности и защиты данных министерства финансов Ставропольского края,МИНФИН КРАЯ,Ставропольский край,62418.0,69849.0,70000.0,62418 – 69849,,Security,,https://trudvsem.ru/vacancy/card/1022601983337/b5fdcc78-1c4b-11f1-a76c-09c020138380
trudvsem,преподаватель со знанием сетевое и системное администрирование,"АНПОО ""ККУ""",Калининградская область,30000.0,30000.0,60000.0,30000 – 30000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1023900993401/fefbe1c7-fa19-11ed-8abc-ed798474fbe2
trudvsem,Аналитик 1С,"АО ""ГРИНАТОМ""",Город Москва,150000.0,180000.0,64761.0,150000 – 180000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1097746819720/5a98a718-3749-11f1-8545-c53e91957a2c
trudvsem,Бизнес-аналитик,"ООО ""КРАСНОДАРЭЛЕКТРО""",Краснодарский край,46000.0,46000.0,150000.0,46000 – 46000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1132311009357/f709a818-2b3d-11f0-9f7d-d549be31d974
trudvsem,Аналитик 1С:ERP,"ООО ""ТКД""",Тверская область,100000.0,150000.0,30000.0,100000 – 150000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1226900004891/b67e0891-3e43-11f1-a969-bf33e0c96538
trudvsem,Бизнес аналитик,"АО ""РЖД ЛОГИСТИКА""",Город Москва,40000.0,40000.0,80000.0,40000 – 40000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1107746946340/47c1ccb0-7d0f-11f0-b264-abd4f0e64f6f
trudvsem,главный аналитик отдела информационной безопасности,"ПАО ""АКИБАНК""",Республика Татарстан (Татарстан),36637.0,47628.0,185000.0,36637 – 47628,,Security,,https://trudvsem.ru/vacancy/card/1021600000839/4b92a828-f850-11f0-ba7d-9959eb3311ba
trudvsem,Руководитель проектов по аналитике и ценообразованию,ФОНД РЕНОВАЦИИ,Город Москва,176000.0,315000.0,80000.0,176000 – 315000,,Project Manager,,https://trudvsem.ru/vacancy/card/1177700018319/377211c8-07df-11f1-93cf-9fd44cff2ded
trudvsem,Аналитик 1С: Документооборот,МФТИ,Город Москва,121800.0,174000.0,67500.0,121800 – 174000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/7226c750-02f1-11eb-8600-bfd13399602c/a6fd9874-4943-11f1-b25c-e3f0fb441b9d
trudvsem,Бизнес аналитик,"ООО ""ВЦ 1С-РАРУС САМАРА""",Самарская область,100000.0,120000.0,125000.0,100000 – 120000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1026300771276/ae14e790-05ae-11f1-8a1f-09ba9925910c
trudvsem,Аналитик ERP,"ООО ""ЭНХИМ""",Тульская область,83200.0,104000.0,93600.0,83200 – 104000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1237100006516/28670a9d-4a1b-11f1-b4bd-353d35c994b0
trudvsem,Бизнес-аналитик,"ООО ""АЛЬКОР И КО""",Город Москва,45000.0,45000.0,45000.0,45000 – 45000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1027739498324/202db059-2f36-11f0-bdff-e7d0d2cf29b1
trudvsem,Аналитик 1С,МФТИ,Город Москва,130000.0,200000.0,165000.0,130000 – 200000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/7226c750-02f1-11eb-8600-bfd13399602c/7fd2c5d0-4935-11f1-9515-675f9983b1ea
trudvsem,Бизнес аналитик,"ГБУ ""АЦКД""",Город Москва,100000.0,150000.0,125000.0,100000 – 150000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1187746773345/06b917c6-12ff-11f1-b33d-0764f895192c
trudvsem,Аналитик 1С,"АО ""ЗАСЛОН""",Город Санкт-Петербург,100000.0,100000.0,100000.0,100000 – 100000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1027810228786/177c3560-ced7-11ed-aab5-91f5d381286a
trudvsem,Бизнес-аналитик,"ООО ""А7-ТЕХНОЛОГИИ""",Город Москва,150000.0,200000.0,175000.0,150000 – 200000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1257700443703/a9598f78-3ef3-11f1-af40-15277f213853
trudvsem,Бизнес аналитик,"ООО ""АМК""",Приморский край,70000.0,100000.0,85000.0,70000 – 100000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1022500508755/9c620b20-3856-11f1-889f-09fcf7d79153
trudvsem,Менеджер по аналитике и отчетности,МФТИ,Московская область,100000.0,120000.0,110000.0,100000 – 120000,,Data Analyst / BI,,https://trudvsem.ru/vacancy/card/7226c750-02f1-11eb-8600-bfd13399602c/b29ab744-49dd-11f1-80cf-b52e2bd53d54
trudvsem,Аналитик 1-С:ERP,"АО ""АМ-ТЕХНИКА""",Самарская область,80000.0,95000.0,87500.0,80000 – 95000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1026301415568/bf56b9f9-bea4-11ee-8498-cb26dff57dd7
trudvsem,Аналитик 1С:ERP/Документооборот,"АО ""ЗАСЛОН""",Город Санкт-Петербург,100000.0,100000.0,100000.0,100000 – 100000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1027810228786/bd566c35-8dc7-11ee-82b2-d549be31d974
trudvsem,Аналитик 1С ЕРП,"ООО УК ""СИБИРСКИЙ ГУРМАН""",Новосибирская область,230000.0,230000.0,230000.0,230000 – 230000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1045401032555/6cf57d68-4456-11f1-aa71-659f9ad1813b
trudvsem,Аналитик информационных систем,"ГБУ ТО ""МФЦ""",Тульская область,60000.0,60000.0,60000.0,60000 – 60000,,IT / Digital (general),,https://trudvsem.ru/vacancy/card/1137154010102/311137c8-3ff7-11f1-9655-cff7883ddf50
trudvsem,Инженер(бизнес-аналитик),"АО ""ВПК ""НПО МАШИНОСТРОЕНИЯ""",Московская область,80000.0,100000.0,90000.0,80000 – 100000,,Business Analyst,,https://trudvsem.ru/vacancy/card/1075012001492/2061bce8-a12a-11f0-8bdd-abd4f0e64f6f
trudvsem,Аналитик отдела отчетности,ПРИО-ВНЕШТОРГБАНК (ПАО),Рязанская область,51000.0,61000.0,56000.0,51000 – 61000,,Data Analyst / BI,,https://trudvsem.ru/vacancy/card/1026200000111/adcb31f8-3983-11f1-90d7-0b2fe3ee63c8
trudvsem,Аналитик 1С МТО,"ООО ""САПРАН КОНСАЛТИНГ""",Город Москва,120000.0,200000.0,160000.0,120000 – 200000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1177746522513/b12e61ba-34c3-11f1-9360-31b295f0b520
trudvsem,Специалист по кадровой аналитике и отчетности,"АО ""КОМПАНИЯ ТРАНСТЕЛЕКОМ""",Город Москва,54975.0,54975.0,54975.0,54975 – 54975,,Data Analyst / BI,,https://trudvsem.ru/vacancy/card/1027739598248/ef290a6a-1b60-11f0-b4c1-e7d0d2cf29b1
trudvsem,Аналитик (развитие информационных систем),"ГБУ ПК ""ЦИР ПК""",Пермский край,27093.0,27093.0,27093.0,27093 – 27093,,IT / Digital (general),,https://trudvsem.ru/vacancy/card/1185958001910/94ae2c48-f2cf-11f0-ba7d-9959eb3311ba
trudvsem,Инженер по качеству,"ООО ""АМА""",Город Санкт-Петербург,75000.0,90000.0,82500.0,75000 – 90000,,QA / Testing,,https://trudvsem.ru/vacancy/card/1027800543210/4d4a3a5c-42da-11f1-817b-5d30bc63a78c
trudvsem,Аналитик по сверке ТМЦ и документообороту в 1С,"ООО ""КАЗАНЬ-ШИНТОРГ""",Республика Татарстан (Татарстан),75000.0,75000.0,75000.0,75000 – 75000,,ERP / 1C / SAP,,https://trudvsem.ru/vacancy/card/1031630210193/e07ea180-4ab4-11f1-accd-43d20294f9b3
trudvsem,Аналитик/администратор T-Flex DOS,"ПАО ""МИЭА""",Город Москва,130000.0,190000.0,160000.0,130000 – 190000,,SysAdmin,,https://trudvsem.ru/vacancy/card/1027739201951/8edd2cd0-3253-11f1-b21a-1b28a4f1f176
