Date,Company,Title,Salary,Skills,Meta_Info,Link
2026-05-09T18:36:06+03:00,Not specified,Java разработчик (СОПББ),Not specified,,Not specified,https://career.habr.com/vacancies/1000161257
2026-05-09T18:32:12+03:00,Not specified,Системный аналитик (НО БО),Not specified,,Not specified,https://career.habr.com/vacancies/1000161256
2026-05-09T18:29:26+03:00,Not specified,Системный аналитик (СОПББ),Not specified,,Not specified,https://career.habr.com/vacancies/1000161255
2026-05-09T18:27:02+03:00,Not specified,QA Manual,Not specified,,Not specified,https://career.habr.com/vacancies/1000161662
2026-05-09T17:56:46+03:00,Not specified,Аналитик сетевой безопасности,Not specified,,Not specified,https://career.habr.com/vacancies/1000165353
2026-05-09T17:53:49+03:00,Not specified,Разработчик 1С,Not specified,,Not specified,https://career.habr.com/vacancies/1000165352
2026-05-09T17:51:50+03:00,Not specified,Стажер разработчик Ruby,Not specified,,Not specified,https://career.habr.com/vacancies/1000165351
2026-05-09T17:49:39+03:00,Not specified,Администратор систем ИБ (SIEM),Not specified,,Not specified,https://career.habr.com/vacancies/1000165350
2026-05-09T15:35:39+03:00,Not specified,Flutter-разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000163905
2026-05-09T15:30:46+03:00,Not specified,Ведущий аналитик 1С (ГПХ),Not specified,,Not specified,https://career.habr.com/vacancies/1000165946
2026-05-09T13:54:04+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161237
2026-05-09T13:54:04+03:00,Not specified,Системный аналитик ТОСБО,Not specified,,Not specified,https://career.habr.com/vacancies/1000161238
2026-05-09T13:54:04+03:00,Not specified,Системный аналитик НОБО,Not specified,,Not specified,https://career.habr.com/vacancies/1000161239
2026-05-09T13:54:04+03:00,Not specified,Системный аналитик на проект внедрения Сферы,Not specified,,Not specified,https://career.habr.com/vacancies/1000161236
2026-05-09T13:54:04+03:00,Not specified,Системный аналитик в команду демо-стендов и пилотов,Not specified,,Not specified,https://career.habr.com/vacancies/1000161235
2026-05-09T13:53:42+03:00,Not specified,Java-разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000165831
2026-05-09T13:27:02+03:00,Not specified,Java-разработчик в Маркет,от 180 000 до 350 000 ₽,,Not specified,https://career.habr.com/vacancies/1000128046
2026-05-09T12:27:12+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000158711
2026-05-09T10:27:05+03:00,Not specified,Начальник отдела автотестирования,Not specified,,Not specified,https://career.habr.com/vacancies/1000161557
2026-05-09T10:01:43+03:00,Not specified,Стажер Frontend-разработчик (React),Not specified,,Not specified,https://career.habr.com/vacancies/1000162215
2026-05-09T08:27:04+03:00,Not specified,Аналитик данных (Антифрод-система),Not specified,,Not specified,https://career.habr.com/vacancies/1000165703
2026-05-09T05:27:02+03:00,Not specified,Руководитель группы DevOps,Not specified,,Not specified,https://career.habr.com/vacancies/1000165915
2026-05-09T05:27:02+03:00,Not specified,Системный аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000165914
2026-05-09T05:27:02+03:00,Not specified,Инженер по автоматизации тестирования java,Not specified,,Not specified,https://career.habr.com/vacancies/1000165913
2026-05-09T02:51:46+03:00,Not specified,Инженер по автоматизации тестирования (Java),Not specified,,Not specified,https://career.habr.com/vacancies/1000166182
2026-05-09T02:44:50+03:00,Not specified,Frontend-разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166181
2026-05-08T20:27:12+03:00,Not specified,Старший инженер-программист C (ядра Linux) ОС Astra Linux,Not specified,,Not specified,https://career.habr.com/vacancies/1000142646
2026-05-08T18:27:11+03:00,Not specified,Системный аналитик (со знанием кредитных процессов),Not specified,,Not specified,https://career.habr.com/vacancies/1000161198
2026-05-08T17:47:45+03:00,Not specified,Веб-аналитик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166179
2026-05-08T17:40:16+03:00,Not specified,Системный аналитик (со знанием кредитных процессов (Junior)),Not specified,,Not specified,https://career.habr.com/vacancies/1000161196
2026-05-08T17:27:24+03:00,Not specified,Java  разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161173
2026-05-08T17:27:11+03:00,Not specified,Java разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000161187
2026-05-08T16:42:19+03:00,Not specified,Руководитель направления регуляторной безопасности (Compliance),Not specified,,Not specified,https://career.habr.com/vacancies/1000165334
2026-05-08T16:33:24+03:00,Not specified,Специалист по межсетевым экранам,Not specified,,Not specified,https://career.habr.com/vacancies/1000165818
2026-05-08T16:27:47+03:00,Not specified,Сетевой инженер Huawei,Not specified,,Not specified,https://career.habr.com/vacancies/1000165817
2026-05-08T16:14:34+03:00,Not specified,Data Scientist (NLP|LLM),Not specified,,Not specified,https://career.habr.com/vacancies/1000166025
2026-05-08T16:04:58+03:00,Not specified,IOS разработчик,Not specified,,Not specified,https://career.habr.com/vacancies/1000166263
2026-05-08T16:03:10+03:00,Not specified,Fullstack QA (Mobile + Load),Not specified,,Not specified,https://career.habr.com/vacancies/1000166262
2026-05-08T15:41:12+03:00,Not specified,DevSecOps специалист,Not specified,,Not specified,https://career.habr.com/vacancies/1000165330
2026-05-08T15:40:30+03:00,Not specified,Разработчик образовательных программ,Not specified,,Not specified,https://career.habr.com/vacancies/1000164952
2026-05-08T15:27:03+03:00,Not specified,Продуктовый аналитик (Департамент Медиа | ADS),Not specified,,Not specified,https://career.habr.com/vacancies/1000157732
2026-05-08T15:21:34+03:00,Not specified,Senior Java Developer,Not specified,,Not specified,https://career.habr.com/vacancies/1000166401
2026-05-08T14:28:25+03:00,Not specified,Data Scientist,Not specified,,Not specified,https://career.habr.com/vacancies/1000166256
2026-05-08T14:26:34+03:00,Not specified,Разработчик Java,Not specified,,Not specified,https://career.habr.com/vacancies/1000166255
2026-05-08T14:25:40+03:00,Not specified,Инженер по автоматизированному тестированию / AQA (Java / Kotlin),Not specified,,Not specified,https://career.habr.com/vacancies/1000166254
2026-05-08T14:24:44+03:00,Not specified,QA - FullStack (TypeScript + Playwright),Not specified,,Not specified,https://career.habr.com/vacancies/1000166253
